Year,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),WHEAT YIELD (Kg per ha),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),KHARIF SORGHUM YIELD (Kg per ha),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),SORGHUM YIELD (Kg per ha),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),PEARL MILLET YIELD (Kg per ha),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),MAIZE YIELD (Kg per ha),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),BARLEY YIELD (Kg per ha),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),CHICKPEA YIELD (Kg per ha),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),PIGEONPEA YIELD (Kg per ha),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),MINOR PULSES YIELD (Kg per ha),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),GROUNDNUT YIELD (Kg per ha),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),SESAMUM YIELD (Kg per ha),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),RAPESEED AND MUSTARD YIELD (Kg per ha),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),OILSEEDS YIELD (Kg per ha),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 tons),SUGARCANE YIELD (Kg per ha),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons),COTTON YIELD (Kg per ha),FRUITS AREA (1000 ha),VEGETABLES AREA (1000 ha),FRUITS AND VEGETABLES AREA (1000 ha),POTATOES AREA (1000 ha),ONION AREA (1000 ha),FODDER AREA (1000 ha)
1966,Hissar,12.3,19,1544.72,135.7,188,1385.41,55.2,10,181.16,55.2,10,181.16,367.2,133,362.2,4,4,1000,21,23,1095.24,432,223,516.2,0,0,0,18.73,-1,-1,0.1,0.1,1000,0.5,0.2,400,89,45,505.62,89.54,-1,-1,17,70,4117.65,126,40.9,324.6,2.89,3.05,5.95,0.17,0.51,196.93
1967,Hissar,14,21,1500,160.3,274,1709.3,39.4,8,203.05,39.4,8,203.05,327.3,195,595.78,5,5,1000,59,42,711.86,457,463,1013.13,0.1,0.2,2000,41.31,-1,-1,0.3,0.4,1333.33,0.3,0.1,333.33,134,59,440.3,134.84,-1,-1,12,58,4833.33,172,53.3,309.88,3.17,2.58,5.75,0.13,0.31,208.13
1968,Hissar,13,21,1615.38,163,238,1460.12,39.3,7,178.12,39.3,7,178.12,349.9,86,245.78,5,7,1400,24,15,625,213,122,572.77,0.1,0.4,4000,7.72,-1,-1,0.2,0.2,1000,0.3,0.1,333.33,13,6,461.54,14.05,-1,-1,20,115,5750,162,52.2,322.22,2.77,3.35,6.12,0.24,0.37,173.47
1969,Hissar,16.2,30,1851.85,197,389,1974.62,32.3,7,216.72,32.3,7,216.72,378.2,228,602.86,5.4,5,925.93,23.4,24,1025.64,437.7,427,975.55,0.1,0.5,5000,28.07,11.5,409.69,0.3,0.4,1333.33,0.3,0.1,333.33,51,33,647.06,51.37,33.6,654.08,22.6,130,5752.21,149,52.6,353.02,2.7,3.28,5.99,0.18,0.36,221.32
1970,Hissar,19.7,32,1624.37,212.4,418,1967.98,29.6,8,270.27,29.6,8,270.27,316.7,340,1073.57,3.6,5,1388.89,11,8,727.27,462.9,331,715.06,0,0,0,25.53,-1,-1,0.2,0.4,2000,0.2,0.1,500,50.3,33,656.06,50.8,-1,-1,18.1,87,4806.63,151.9,54.4,358.13,2.74,3.21,5.95,0.28,0.32,210.83
1971,Hissar,19.2,23,1197.92,212.7,326,1532.68,25.6,7,273.44,25.6,7,273.44,329.9,236,715.37,3.2,5,1562.5,8,7,875,483,259,536.23,0.1,0.1,1000,20.02,-1,-1,0.2,0.4,2000,0.5,0.2,400,65.3,38,581.93,66.06,-1,-1,10.6,51,4811.32,197,69.3,351.78,2.89,3.47,6.36,0.2,0.36,193.5
1972,Hissar,18.7,32,1711.23,249,414.1,1663.05,19,3,157.89,19,3,157.89,367.7,137,372.59,3.5,3,857.14,24.7,11.7,473.68,466.8,189,404.88,0.1,0.1,1000,10.07,13.6,1350.55,0.3,0.5,1666.67,0.3,0.2,666.67,105.6,34.5,326.7,106.38,39.4,370.37,11.8,47.8,4050.85,213.8,70,327.41,2.92,4.02,6.93,0.25,0.31,207.67
1973,Hissar,17.7,32,1807.91,226.5,327.1,1444.15,20.5,5.4,263.41,20.5,5.4,263.41,389,232.9,598.71,3.8,5,1315.79,24.3,15.7,646.09,455.9,175.6,385.17,0.2,0.1,500,15.33,-1,-1,0,0,0,3.3,1.3,393.94,73.4,22.4,305.18,73.9,-1,-1,13.6,56.8,4176.47,208.4,71.2,341.65,2.99,4.34,7.33,0.37,0.42,199.58
1974,Hissar,20.7,24,1159.42,189.2,313.7,1658.03,16.5,3.7,224.24,16.5,3.7,224.24,377.8,56.7,150.08,2.8,2.7,964.29,40.7,33.7,828.01,274.6,115.5,420.61,0.2,0,0,15.26,-1,-1,0.1,0,0,0.4,0.2,500,55,33.1,601.82,55.53,-1,-1,12.6,54.7,4341.27,205,71.6,349.27,2.74,4.1,6.85,0.37,0.44,206.28
1975,Hissar,20.7,46,2222.22,227.6,475,2086.99,15.3,4.4,287.58,15.3,4.4,287.58,424.1,273.3,644.42,3.2,4,1250,18,21.7,1205.56,511.1,331.4,648.41,0.5,0,0,21.52,-1,-1,0,0,0,0.4,0.3,750,56.1,29.8,531.19,56.62,-1,-1,12.6,50.2,3984.13,203.7,72.1,353.95,2.62,4.4,5.51,0.39,0.42,239.81
